CF_7_calib_vb58_tune8700_pcbd={1.000000/0.036248,1.000000/0.046224,1.000000/0.059881,1.000000/0.047320,1.000000/0.066859,1.000000/0.130362,1.000000/0.064652,1.000000/0.074694,}
CF_26_2604_day={0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,}
CF_26_2604_day={0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,}
CF_26_2604_day={0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,}
CF_26_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_26_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_26_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_99_2604_day={inf/-nan,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_00_12to18_day={1.703839/0.031794,1.358162/0.234248,1.322298/0.294406,1.751105/0.063943,1.212137/0.330950,1.226691/0.212096,1.055847/0.386797,2.215443/0.629514,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_00_12to18_day={1.709957/0.035231,1.343216/0.243966,1.723336/0.006691,1.721476/0.025990,1.770930/0.081384,1.222552/0.222754,1.367177/0.250204,1.735789/0.002329,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_00_12to18_day={1.707662/0.032847,1.674422/0.033768,1.755365/0.039549,1.736753/0.041863,1.731509/0.039260,1.531842/0.037822,1.714739/0.042335,1.782820/0.045929,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_99_2604_day={inf/-nan,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_10_12to21_night={1.704364/0.033519,1.673436/0.034901,1.754241/0.039981,1.739717/0.041583,1.728860/0.040097,1.529136/0.038731,1.713235/0.043124,1.781772/0.046897,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_99_2604_day={inf/-nan,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_200_02to0507_day={1.782719/0.068192,1.700507/0.014242,1.839439/0.088943,1.796574/0.071758,1.000786/0.412922,1.501610/0.021946,1.696785/0.040039,1.781445/0.055534,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_200_02to0507_day={1.725575/0.044831,1.710583/0.056184,1.780852/0.064808,1.735168/0.054736,1.726975/0.053976,1.502325/0.055944,1.670704/0.049012,1.738916/0.049177,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_200_02to0507_day={1.712616/0.031302,1.688451/0.032899,1.766719/0.049766,1.715192/0.033743,1.707609/0.033629,1.477692/0.029900,1.650715/0.028101,1.721351/0.030807,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_99_2604_day={inf/-nan,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_222_02to12_day={1.713623/0.025689,1.686395/0.030123,1.764602/0.041607,1.712862/0.027605,1.706130/0.029871,1.483981/0.026078,1.653275/0.021869,1.720374/0.027345,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_99_2604_day={inf/-nan,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
CF_333_1307to0408_day={1.695208/0.029266,1.667506/0.030069,1.734181/0.035198,1.710010/0.031139,1.704045/0.031401,1.495533/0.031429,1.676676/0.030485,1.738750/0.032769,}
CF_99_2604_day={1.705649/0.024505,1.671494/0.026251,1.750823/0.029087,1.739022/0.027547,1.734912/0.026707,1.533942/0.027833,1.709095/0.030265,1.782051/0.034005,}
