IW_3_1304_day={33.815598/173.422104,34.505341/174.599228,32.925911/171.775421,32.777695/172.355637,32.590706/172.101135,33.288368/174.021362,32.880409/173.195557,31.889915/170.716370,}
IW_3_1304_day={33.815681/173.424500,34.506905/174.610565,32.925224/171.773621,32.778450/172.358612,32.591820/172.106628,33.286263/174.231354,32.880768/173.189896,31.888321/170.729614,}
IW_3_1304_day={33.815681/173.424500,34.506905/174.610565,32.925224/171.773621,32.778450/172.358612,32.591820/172.106628,33.286263/174.231354,32.880768/173.189896,31.888321/170.729614,}
IW_3_1304_day={33.815681/173.424500,34.506905/174.610565,32.925224/171.773621,32.778450/172.358612,32.591820/172.106628,33.286263/174.231354,32.880768/173.189896,31.888321/170.729614,}
IW_26_2604_day={33.404205/172.156326,34.574448/175.068863,32.846130/171.738861,32.596809/172.962311,32.428650/172.944626,32.931381/174.022110,33.302666/173.479675,31.894424/171.219238,}
IW_26_2604_day={33.404366/172.154846,34.574577/175.175201,32.846069/171.740570,32.596321/172.961700,32.431015/172.943970,32.930351/174.037476,33.302826/172.861969,31.892372/171.215973,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_26_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_00_12to18_day={33.649063/174.247864,74.551262/216.363831,35.509033/175.427338,33.963425/173.317688,29.587410/169.922180,74.479355/216.187180,73.618462/213.611053,35.928490/175.489502,}
IW_99_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_00_12to18_day={33.720436/173.716003,34.521225/174.551056,33.044258/172.280914,32.775673/172.142792,32.940674/172.433945,33.176544/174.657471,33.093002/173.450821,31.933853/170.541061,}
IW_99_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_00_12to18_day={33.686363/173.673096,34.519630/174.526123,32.781578/172.021790,32.711197/172.041962,32.563461/172.338547,32.997993/173.910248,33.286919/173.719208,31.796494/170.164688,}
IW_99_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_00_12to18_day={33.686363/173.673096,34.519630/174.526123,32.781578/172.021790,32.711197/172.041962,32.563461/172.338547,32.997993/173.910248,33.286919/173.719208,31.796494/170.164688,}
IW_99_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
IW_10_12to21_night={33.759277/173.422623,34.642197/175.055801,32.940636/172.539642,32.821396/173.476913,32.766052/172.808151,33.023056/172.499802,33.337761/173.865082,31.856567/170.749573,}
IW_99_2604_day={33.404396/172.155457,34.574577/175.095062,32.846085/171.740723,32.596321/172.961670,32.430939/172.943909,32.930260/174.038849,33.302841/172.863251,31.892372/171.210022,}
